departure_delay,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x
-6,67,0,30.22,7,0
-8,44,0,30.19,10,0
24,54,0,30.37,10,11
-7,44,0,29.34,10,9
34,63,0,29.32,9,3
-2,64,0,30.19,5,0
-5,45,0.07,29.72,10,10
-8,60,0,30.27,10,11
-3,52,0,29.94,10,3
0,73,0,29.23,8,11
-4,73,0,29.23,8,11
-6,47,0,29.96,10,6
-3,28.5,0,26.78,10,0
-8,62,0,30.01,10,6
-3,51,0,29.22,9,6
-6,28,0,25.56,10,6
-3,52,0,30.41,10,6
2,58,0,29.1,10,0
-6,67,0,29.02,10,8
-4,71,0,30.04,10,7
0,70,0,29.09,10,22
-1,45,0,30.14,10,3
-3,58,0,29.98,10,8
-6,50,0,30.43,10,3
-10,61,0,29.01,10,0
-1,68,0,29.54,10,3
-6,56,0,28.85,7,3
13,45,0.07,29.72,10,10
-1,69,0,30.01,1.5,0
-1,58,0,30.18,9,11
0,45,0.07,29.72,10,10
-3,44,0,28.95,8,7
-6,56,0,28.85,7,3
-3,69,0,29.06,10,17
-5,58,0,30.26,0,3
-4,69,0,29.06,10,17
13,72,0,30.1,10,9
-1,36,0,25.63,10,5
12,42,0,30.11,10,6
2,38,0,24.45,10,10
-7,40,0,27.52,10,10
-3,44,0,29.5,10,16
-2,43,0.02,30.05,6,5
-13,45,0,29.35,10,5
-6,36,0,25.63,10,5
-8,77,0,29.37,7,9
4,66,0,29.14,10,3
-8,67,0,30.25,10,5
-11,64,0,29.82,10,3
0,62,0.01,29.21,10,8
-7,51,0,30.01,9,6
6,44,0,30.19,10,0
-3,52,0,29.59,10,9
-7,76,0,30.05,10,9
-5,35,0,25.82,10,10
-7,42,0,30.38,10,3
-2,66,0,28.69,10,3
-8,47,0,30,10,0
-6,58,0,29.98,10,8
-6,50,0,30.43,10,3
0,53,0,28.84,0.25,5
-2,53,0.01,29.16,2.5,9
-5,42,0,27.13,10,5
4,72,0,30.02,10,6
-8,51,0,30.01,9,6
-6,52,0,29.94,10,3
0,70,0,29.05,10,17
0,45,0.33,29.07,2,16
-1,75,0,29.89,8,10
2,56,0,28.85,7,3
-2,49,0,30.39,10,0
-4,56,0,29.64,10,5
-4,57,0,30.19,9,11
0,74,0,29.39,7,8
-8,67,0,29.02,10,8
-10,44,0,30.19,10,0
-11,71,0,29.97,9,3
-3,46,0,29.32,8,9
-12,55,0,30.03,10,10
-2,67,0,30.25,10,5
-7,58,0,30.18,9,11
-2,66,0,29.98,6,0
-5,46,0,29.32,8,9
-8,60,0,28.79,7,7
-4,76,0,30.14,10,13
-5,66,0,29.08,10,9
-6,64,0,29.82,10,3
-10,58,0,29.98,10,8
-4,69,0,28.68,10,10
-10,48,0,29.34,10,7
491,39,0,29.13,4,9
-4,54,0,29.83,10,3
0,49,0,24.68,10,5
-1,68,0,29.11,10,13
32,39,0,29.13,4,9
-4,61,0,28.01,10,3
-8,49,0,30.01,10,3
-5,49,0.02,29.02,4,15
-14,51,0,29.22,9,6
-15,58,0,30.18,9,11
-6,37,0.02,28.61,5,11
-7,47,0.15,29.05,2,18
-7,52,0,29.33,10,5
1,74,0,29.25,8,11
16,69,0,28.97,10,16
-15,68,0,28.95,10,13
-2,72,0,30.03,10,8
-2,57,0,28.52,0.25,7
-3,67,0,29.46,5,7
-12,38,0,28.55,10,9
-9,64,0,30.1,2,3
-2,68,0,30.22,1,3
-10,66,0,29.59,5,7
-10,46,0,29.58,10,8
-7,38,0,29.7,10,3
1,74,0,29,9,11
-8,63,0,30.12,0.25,6
-9,66,0,29.14,10,3
2,75,0,29.03,8,13
-5,55,0,26.56,10,7
0,66,0,29.14,10,3
-7,51,0,30.01,9,6
-3,46,0,28.91,10,13
-3,45,0,30.39,10,3
-1,69,0,29.85,8,6
22,53,0.01,29.16,2.5,9
-2,61,0,29.01,10,0
